Date;Departure place;Arrival place;Departure time;Arrival time;Total time
26.01.26;MUC;SAN;08:30;08:40;
31.07.22;SFO;MUC;04:02;14:38;10:36
28.07.22;MUC;SFO;14:56;02:17;11:21
30.06.22;SAN;MUC;00:16;11:11;10:55
26.06.22;MUC;SAN;10:56;22:16;11:20
17.06.22;BKK;MUC;16:00;03:20;11:20
14.06.22;MUC;BKK;20:45;07:10;10:25
08.06.22;EWR;MUC;01:10;08:34;07:24
06.06.22;MUC;EWR;14:21;22:56;08:35
22.05.22;YVR;MUC;01:46;11:25;09:39
19.05.22;MUC;YVR;13:52;23:44;09:52
16.05.22;DEL;MUC;19:24;03:44;08:20
14.05.22;MUC;DEL;11:07;18:18;07:11
13.03.22;MUC;MUC;06:00;10:00;04:00
12.03.22;MUC;MUC;06:00;10:00;04:00
08.03.22;DXB;MUC;05:40;12:15;06:35
05.03.22;MUC;DXB;21:35;03:40;06:05
01.03.22;DXB;MUC;05:40;12:15;06:35
27.02.22;MUC;DXB;21:35;03:40;06:05
20.02.22;LAX;MUC;01:10;11:28;10:18
16.02.22;MUC;LAX;11:11;22:52;11:41
13.02.22;MIA;MUC;00:06;08:55;08:49
11.02.22;MUC;MIA;11:05;22:05;11:00
03.02.22;DXB;MUC;05:23;11:57;06:34
31.01.22;MUC;DXB;21:35;03:10;05:35
26.01.22;ORD;MUC;03:33;11:29;07:56
23.01.22;MUC;ORD;15:26;01:40;10:14
08.01.22;YYZ;FRA;23:16;06:25;07:09
06.01.22;FRA;YYZ;12:35;21:00;08:25
30.12.21;YYZ;FRA;01:07;08:20;07:13
28.12.21;FRA;YYZ;13:24;21:45;08:21
14.12.21;CLT;MUC;00:35;08:44;08:09
11.12.21;MUC;CLT;12:01;22:28;10:27
11.11.21;EWR;MUC;02:13;09:36;07:23
09.11.21;MUC;EWR;15:31;00:31;09:00
24.10.21;MUC;MUC;13:10;17:10;04:00
23.10.21;MUC;MUC;05:00;09:00;04:00
16.10.21;BOS;MUC;00:33;07:46;07:13
14.10.21;MUC;BOS;13:59;21:57;07:58
09.10.21;JFK;MUC;21:18;05:00;07:42
06.10.21;MUC;JFK;10:36;19:20;08:44
03.10.21;EWR;MUC;00:26;07:35;07:09
01.10.21;MUC;EWR;14:41;22:59;08:18
17.08.21;IAD;MUC;02:13;10:32;08:19
14.08.21;MUC;IAD;15:04;23:57;08:53
11.08.21;MUC;MUC;08:50;12:50;04:00
02.08.21;SEA;FRA;21:16;07:04;09:48
01.08.21;FRA;SEA;09:38;19:36;09:58
25.07.21;SFO;FRA;21:45;08:10;10:25
23.07.21;FRA;SFO;08:50;20:00;11:10
17.06.21;LAX;FRA;22:00;08:45;10:45
14.06.21;FRA;LAX;08:35;20:00;11:25
07.06.21;DEN;MUC;22:15;08:05;09:50
